locale,ageg,inccases,persyrs,latitude
Detroit      ,<35   years,18,991371,Northern
Detroit      ,35-44 years,25,199104,Northern
Detroit      ,45-54 years,33,209192,Northern
Detroit      ,55-64 years,39,146400,Northern
Detroit      ,65-74 years,18,82961,Northern
Detroit      ,>=75  years,13,44096,Northern
Pittsburgh   ,<35   years,10,578107,Northern
Pittsburgh   ,35-44 years,11,126436,Northern
Pittsburgh   ,45-54 years,29,147028,Northern
Pittsburgh   ,55-64 years,21,114706,Northern
Pittsburgh   ,65-74 years,14,62927,Northern
Pittsburgh   ,>=75  years,19,36832,Northern
Minneapolis  ,<35   years,14,544233,Northern
Minneapolis  ,35-44 years,15,95490,Northern
Minneapolis  ,45-54 years,15,87076,Northern
Minneapolis  ,55-64 years,14,62268,Northern
Minneapolis  ,65-74 years,8,37391,Northern
Minneapolis  ,>=75  years,16,23093,Northern
San Francisco,<35   years,47,718136,Middle  
San Francisco,35-44 years,40,152522,Middle  
San Francisco,45-54 years,59,160101,Middle  
San Francisco,55-64 years,29,119975,Middle  
San Francisco,65-74 years,24,67645,Middle  
San Francisco,>=75  years,16,37912,Middle  
Colorado     ,<35   years,31,651471,Middle  
Colorado     ,35-44 years,23,120750,Middle  
Colorado     ,45-54 years,36,111201,Middle  
Colorado     ,55-64 years,28,80498,Middle  
Colorado     ,65-74 years,17,48097,Middle  
Colorado     ,>=75  years,18,29347,Middle  
Iowa         ,<35   years,19,766551,Northern
Iowa         ,35-44 years,25,143505,Northern
Iowa         ,45-54 years,21,149687,Northern
Iowa         ,55-64 years,30,127366,Northern
Iowa         ,65-74 years,23,87629,Northern
Iowa         ,>=75  years,32,57829,Northern
Atlanta      ,<35   years,21,331153,Southern
Atlanta      ,35-44 years,21,69396,Southern
Atlanta      ,45-54 years,17,59886,Southern
Atlanta      ,55-64 years,21,37229,Southern
Atlanta      ,65-74 years,5,17938,Southern
Atlanta      ,>=75  years,5,8347,Southern
Birmingham   ,<35   years,9,142893,Southern
Birmingham   ,35-44 years,9,30816,Southern
Birmingham   ,45-54 years,10,30675,Southern
Birmingham   ,55-64 years,3,23513,Southern
Birmingham   ,65-74 years,9,13902,Southern
Birmingham   ,>=75  years,4,6787,Southern
Dallas       ,<35   years,34,600200,Southern
Dallas       ,35-44 years,45,120195,Southern
Dallas       ,45-54 years,41,107558,Southern
Dallas       ,55-64 years,39,73342,Southern
Dallas       ,65-74 years,31,38868,Southern
Dallas       ,>=75  years,18,19099,Southern
